term,grade,origination_vintage,origination_amount,charged_off_date,charged_off_amount,MoB
36 months,E,2013-03-31,1366525,2013-08-31,8000,5
36 months,E,2013-03-31,1366525,2013-10-31,2401,7
36 months,E,2013-03-31,1366525,2013-11-30,9435,8
36 months,E,2013-03-31,1366525,2014-01-31,19433,10
36 months,E,2013-03-31,1366525,2014-02-28,25362,11
36 months,E,2013-03-31,1366525,2014-03-31,2406,12
36 months,E,2013-03-31,1366525,2014-04-30,14577,13
36 months,E,2013-03-31,1366525,2014-06-30,3142,15
36 months,E,2013-03-31,1366525,2014-07-31,2280,16
36 months,E,2013-03-31,1366525,2014-08-31,15196,17
36 months,E,2013-03-31,1366525,2014-09-30,9392,18
36 months,E,2013-03-31,1366525,2014-10-31,9053,19
36 months,E,2013-03-31,1366525,2014-11-30,28059,20
36 months,E,2013-03-31,1366525,2014-12-31,7943,21
36 months,E,2013-03-31,1366525,2015-02-28,12158,23
36 months,E,2013-03-31,1366525,2015-04-30,7805,25
36 months,E,2013-03-31,1366525,2015-05-31,2394,26
36 months,E,2013-03-31,1366525,2015-06-30,4914,27
36 months,E,2013-04-30,2040500,,,
36 months,E,2013-04-30,2040500,2013-09-30,26500,5
36 months,E,2013-04-30,2040500,2013-10-31,33705,6
36 months,E,2013-04-30,2040500,2013-11-30,5488,7
36 months,E,2013-04-30,2040500,2013-12-31,5044,8
36 months,E,2013-04-30,2040500,2014-01-31,8711,9
36 months,E,2013-04-30,2040500,2014-02-28,12311,10
36 months,E,2013-04-30,2040500,2014-03-31,5037,11
36 months,E,2013-04-30,2040500,2014-04-30,9395,12
36 months,E,2013-04-30,2040500,2014-05-31,5653,13
36 months,E,2013-04-30,2040500,2014-06-30,29913,14
36 months,E,2013-04-30,2040500,2014-07-31,14854,15
36 months,E,2013-04-30,2040500,2014-08-31,10253,16
36 months,E,2013-04-30,2040500,2014-09-30,7916,17
36 months,E,2013-04-30,2040500,2014-10-31,27190,18
36 months,E,2013-04-30,2040500,2014-11-30,3992,19
36 months,E,2013-04-30,2040500,2014-12-31,24034,20
36 months,E,2013-04-30,2040500,2015-01-31,39865,21
36 months,E,2013-04-30,2040500,2015-02-28,2297,22
36 months,E,2013-04-30,2040500,2015-03-31,2309,23
36 months,E,2013-04-30,2040500,2015-04-30,5560,24
36 months,E,2013-04-30,2040500,2015-05-31,9624,25
36 months,E,2013-04-30,2040500,2015-06-30,8793,26
36 months,E,2013-04-30,2040500,2015-07-31,1864,27
36 months,E,2013-04-30,2040500,2015-11-30,2569,31
36 months,E,2013-05-31,2893300,,,
36 months,E,2013-05-31,2893300,2013-10-31,16700,5
36 months,E,2013-05-31,2893300,2013-11-30,5882,6
36 months,E,2013-05-31,2893300,2013-12-31,10552,7
36 months,E,2013-05-31,2893300,2014-01-31,26329,8
36 months,E,2013-05-31,2893300,2014-03-31,65058,10
36 months,E,2013-05-31,2893300,2014-04-30,5695,11
36 months,E,2013-05-31,2893300,2014-07-31,37539,14
36 months,E,2013-05-31,2893300,2014-08-31,46724,15
36 months,E,2013-05-31,2893300,2014-09-30,3043,16
36 months,E,2013-05-31,2893300,2014-10-31,4784,17
36 months,E,2013-05-31,2893300,2014-11-30,22072,18
36 months,E,2013-05-31,2893300,2014-12-31,40290,19
36 months,E,2013-05-31,2893300,2015-01-31,14568,20
36 months,E,2013-05-31,2893300,2015-02-28,19881,21
36 months,E,2013-05-31,2893300,2015-03-31,34057,22
36 months,E,2013-05-31,2893300,2015-04-30,12574,23
36 months,E,2013-05-31,2893300,2015-05-31,14459,24
36 months,E,2013-05-31,2893300,2015-07-31,2961,26
36 months,E,2013-05-31,2893300,2015-09-30,6304,28
36 months,E,2013-05-31,2893300,2015-11-30,2567,30
36 months,E,2013-06-30,2780575,,,
36 months,E,2013-06-30,2780575,2014-01-31,9070,7
36 months,E,2013-06-30,2780575,2014-02-28,18327,8
36 months,E,2013-06-30,2780575,2014-03-31,18331,9
36 months,E,2013-06-30,2780575,2014-04-30,39839,10
36 months,E,2013-06-30,2780575,2014-05-31,38932,11
36 months,E,2013-06-30,2780575,2014-06-30,17544,12
36 months,E,2013-06-30,2780575,2014-07-31,25371,13
36 months,E,2013-06-30,2780575,2014-08-31,25953,14
36 months,E,2013-06-30,2780575,2014-09-30,8471,15
36 months,E,2013-06-30,2780575,2014-10-31,47667,16
36 months,E,2013-06-30,2780575,2014-11-30,41346,17
36 months,E,2013-06-30,2780575,2014-12-31,8165,18
36 months,E,2013-06-30,2780575,2015-01-31,3401,19
36 months,E,2013-06-30,2780575,2015-02-28,27620,20
36 months,E,2013-06-30,2780575,2015-03-31,10074,21
36 months,E,2013-06-30,2780575,2015-04-30,36185,22
36 months,E,2013-06-30,2780575,2015-05-31,10081,23
36 months,E,2013-06-30,2780575,2015-07-31,9364,25
36 months,E,2013-06-30,2780575,2015-11-30,13860,29
36 months,E,2013-07-31,3216950,,,
36 months,E,2013-07-31,3216950,2013-12-31,27300,5
36 months,E,2013-07-31,3216950,2014-01-31,4851,6
36 months,E,2013-07-31,3216950,2014-02-28,5757,7
36 months,E,2013-07-31,3216950,2014-03-31,70930,8
36 months,E,2013-07-31,3216950,2014-04-30,39486,9
36 months,E,2013-07-31,3216950,2014-05-31,18814,10
36 months,E,2013-07-31,3216950,2014-06-30,43155,11
36 months,E,2013-07-31,3216950,2014-07-31,41728,12
36 months,E,2013-07-31,3216950,2014-08-31,20605,13
36 months,E,2013-07-31,3216950,2014-10-31,51813,15
36 months,E,2013-07-31,3216950,2014-11-30,28245,16
36 months,E,2013-07-31,3216950,2014-12-31,48315,17
36 months,E,2013-07-31,3216950,2015-01-31,6667,18
36 months,E,2013-07-31,3216950,2015-02-28,26677,19
36 months,E,2013-07-31,3216950,2015-03-31,22530,20
36 months,E,2013-07-31,3216950,2015-04-30,880,21
36 months,E,2013-07-31,3216950,2015-05-31,13890,22
36 months,E,2013-07-31,3216950,2015-07-31,3782,24
36 months,E,2013-08-31,4031750,,,
36 months,E,2013-08-31,4031750,2014-01-31,1000,5
36 months,E,2013-08-31,4031750,2014-02-28,12127,6
36 months,E,2013-08-31,4031750,2014-03-31,44071,7
36 months,E,2013-08-31,4031750,2014-04-30,11567,8
36 months,E,2013-08-31,4031750,2014-05-31,38367,9
36 months,E,2013-08-31,4031750,2014-06-30,12872,10
36 months,E,2013-08-31,4031750,2014-07-31,874,11
36 months,E,2013-08-31,4031750,2014-08-31,45254,12
36 months,E,2013-08-31,4031750,2014-09-30,12897,13
36 months,E,2013-08-31,4031750,2014-10-31,5884,14
36 months,E,2013-08-31,4031750,2014-11-30,51428,15
36 months,E,2013-08-31,4031750,2014-12-31,7974,16
36 months,E,2013-08-31,4031750,2015-01-31,15146,17
36 months,E,2013-08-31,4031750,2015-02-28,54487,18
36 months,E,2013-08-31,4031750,2015-03-31,17054,19
36 months,E,2013-08-31,4031750,2015-04-30,30704,20
36 months,E,2013-08-31,4031750,2015-05-31,23893,21
36 months,E,2013-08-31,4031750,2015-06-30,17722,22
36 months,E,2013-08-31,4031750,2015-07-31,28559,23
36 months,E,2013-08-31,4031750,2015-08-31,2051,24
36 months,E,2013-08-31,4031750,2015-09-30,3680,25
36 months,E,2013-09-30,3111200,,,
36 months,E,2013-09-30,3111200,2014-02-28,30500,5
36 months,E,2013-09-30,3111200,2014-03-31,22541,6
36 months,E,2013-09-30,3111200,2014-04-30,8161,7
36 months,E,2013-09-30,3111200,2014-06-30,37427,9
36 months,E,2013-09-30,3111200,2014-08-31,20956,11
36 months,E,2013-09-30,3111200,2014-09-30,3830,12
36 months,E,2013-09-30,3111200,2014-10-31,40221,13
36 months,E,2013-09-30,3111200,2014-11-30,37019,14
36 months,E,2013-09-30,3111200,2014-12-31,9384,15
36 months,E,2013-09-30,3111200,2015-01-31,11852,16
36 months,E,2013-09-30,3111200,2015-02-28,65642,17
36 months,E,2013-09-30,3111200,2015-04-30,14356,19
36 months,E,2013-09-30,3111200,2015-05-31,34437,20
36 months,E,2013-09-30,3111200,2015-06-30,2765,21
36 months,E,2013-09-30,3111200,2015-07-31,21022,22
36 months,E,2013-09-30,3111200,2015-09-30,3867,24
36 months,E,2013-10-31,2708600,,,
36 months,E,2013-10-31,2708600,2014-03-31,17475,5
36 months,E,2013-10-31,2708600,2014-04-30,29151,6
36 months,E,2013-10-31,2708600,2014-06-30,9224,8
36 months,E,2013-10-31,2708600,2014-07-31,14883,9
36 months,E,2013-10-31,2708600,2014-08-31,43461,10
36 months,E,2013-10-31,2708600,2014-10-31,34601,12
36 months,E,2013-10-31,2708600,2014-11-30,16664,13
36 months,E,2013-10-31,2708600,2014-12-31,57887,14
36 months,E,2013-10-31,2708600,2015-01-31,7527,15
36 months,E,2013-10-31,2708600,2015-02-28,26832,16
36 months,E,2013-10-31,2708600,2015-03-31,96131,17
36 months,E,2013-10-31,2708600,2015-04-30,23463,18
36 months,E,2013-10-31,2708600,2015-05-31,6282,19
36 months,E,2013-10-31,2708600,2015-06-30,22033,20
36 months,E,2013-10-31,2708600,2015-09-30,1492,23
36 months,E,2013-11-30,3563250,,,
36 months,E,2013-11-30,3563250,2014-04-30,6875,5
36 months,E,2013-11-30,3563250,2014-06-30,9727,7
36 months,E,2013-11-30,3563250,2014-07-31,5865,8
36 months,E,2013-11-30,3563250,2014-08-31,32835,9
36 months,E,2013-11-30,3563250,2014-09-30,14452,10
36 months,E,2013-11-30,3563250,2014-10-31,31905,11
36 months,E,2013-11-30,3563250,2014-11-30,20934,12
36 months,E,2013-11-30,3563250,2014-12-31,27085,13
36 months,E,2013-11-30,3563250,2015-01-31,60759,14
36 months,E,2013-11-30,3563250,2015-02-28,71076,15
36 months,E,2013-11-30,3563250,2015-03-31,52870,16
36 months,E,2013-11-30,3563250,2015-04-30,11400,17
36 months,E,2013-11-30,3563250,2015-05-31,35274,18
36 months,E,2013-11-30,3563250,2015-06-30,20833,19
36 months,E,2013-11-30,3563250,2015-07-31,19117,20
36 months,E,2013-11-30,3563250,2015-09-30,15900,22
36 months,E,2013-11-30,3563250,2015-11-30,2484,24
36 months,E,2013-12-31,4355700,,,
36 months,E,2013-12-31,4355700,2014-06-30,39815,6
36 months,E,2013-12-31,4355700,2014-07-31,56190,7
36 months,E,2013-12-31,4355700,2014-08-31,9931,8
36 months,E,2013-12-31,4355700,2014-09-30,42756,9
36 months,E,2013-12-31,4355700,2014-10-31,8752,10
36 months,E,2013-12-31,4355700,2014-11-30,8777,11
36 months,E,2013-12-31,4355700,2014-12-31,18261,12
36 months,E,2013-12-31,4355700,2015-01-31,62536,13
36 months,E,2013-12-31,4355700,2015-02-28,32664,14
36 months,E,2013-12-31,4355700,2015-03-31,66511,15
36 months,E,2013-12-31,4355700,2015-04-30,66484,16
36 months,E,2013-12-31,4355700,2015-05-31,25103,17
36 months,E,2013-12-31,4355700,2015-06-30,25981,18
36 months,E,2013-12-31,4355700,2015-07-31,20181,19
36 months,E,2013-12-31,4355700,2015-08-31,19923,20
36 months,E,2014-01-31,3873000,,,
36 months,E,2014-01-31,3873000,2014-06-30,1875,5
36 months,E,2014-01-31,3873000,2014-07-31,23891,6
36 months,E,2014-01-31,3873000,2014-08-31,18520,7
36 months,E,2014-01-31,3873000,2014-09-30,6834,8
36 months,E,2014-01-31,3873000,2014-10-31,20977,9
36 months,E,2014-01-31,3873000,2014-11-30,28959,10
36 months,E,2014-01-31,3873000,2015-01-31,61377,12
36 months,E,2014-01-31,3873000,2015-02-28,11782,13
36 months,E,2014-01-31,3873000,2015-03-31,44963,14
36 months,E,2014-01-31,3873000,2015-04-30,38566,15
36 months,E,2014-01-31,3873000,2015-05-31,26953,16
36 months,E,2014-01-31,3873000,2015-06-30,6314,17
36 months,E,2014-01-31,3873000,2015-07-31,27774,18
36 months,E,2014-01-31,3873000,2015-08-31,7003,19
36 months,E,2014-01-31,3873000,2015-10-31,16059,21
36 months,E,2014-02-28,4279300,,,
36 months,E,2014-02-28,4279300,2014-09-30,3819,7
36 months,E,2014-02-28,4279300,2014-10-31,30519,8
36 months,E,2014-02-28,4279300,2014-11-30,50461,9
36 months,E,2014-02-28,4279300,2014-12-31,78025,10
36 months,E,2014-02-28,4279300,2015-01-31,34075,11
36 months,E,2014-02-28,4279300,2015-02-28,17098,12
36 months,E,2014-02-28,4279300,2015-03-31,76181,13
36 months,E,2014-02-28,4279300,2015-04-30,78493,14
36 months,E,2014-02-28,4279300,2015-05-31,11775,15
36 months,E,2014-02-28,4279300,2015-06-30,49464,16
36 months,E,2014-02-28,4279300,2015-07-31,23376,17
36 months,E,2014-02-28,4279300,2015-08-31,22360,18
36 months,E,2014-02-28,4279300,2015-09-30,29101,19
36 months,E,2014-02-28,4279300,2015-10-31,13430,20
36 months,E,2014-03-31,5118050,,,
36 months,E,2014-03-31,5118050,2014-08-31,7200,5
36 months,E,2014-03-31,5118050,2014-09-30,14404,6
36 months,E,2014-03-31,5118050,2014-10-31,29115,7
36 months,E,2014-03-31,5118050,2014-11-30,26077,8
36 months,E,2014-03-31,5118050,2014-12-31,18720,9
36 months,E,2014-03-31,5118050,2015-01-31,24296,10
36 months,E,2014-03-31,5118050,2015-02-28,52909,11
36 months,E,2014-03-31,5118050,2015-03-31,41031,12
36 months,E,2014-03-31,5118050,2015-05-31,77324,14
36 months,E,2014-03-31,5118050,2015-06-30,25379,15
36 months,E,2014-03-31,5118050,2015-07-31,55628,16
36 months,E,2014-03-31,5118050,2015-11-30,1520,20
36 months,E,2014-04-30,5568900,,,
36 months,E,2014-04-30,5568900,2014-10-31,8130,6
36 months,E,2014-04-30,5568900,2014-11-30,2400,7
36 months,E,2014-04-30,5568900,2014-12-31,27825,8
36 months,E,2014-04-30,5568900,2015-01-31,29620,9
36 months,E,2014-04-30,5568900,2015-02-28,78362,10
36 months,E,2014-04-30,5568900,2015-03-31,42262,11
36 months,E,2014-04-30,5568900,2015-04-30,22431,12
36 months,E,2014-04-30,5568900,2015-05-31,16644,13
36 months,E,2014-04-30,5568900,2015-06-30,28888,14
36 months,E,2014-04-30,5568900,2015-07-31,25101,15
36 months,E,2014-04-30,5568900,2015-08-31,8182,16
36 months,E,2014-04-30,5568900,2015-09-30,5582,17
36 months,E,2014-04-30,5568900,2015-11-30,7854,19
36 months,E,2014-05-31,4948350,,,
36 months,E,2014-05-31,4948350,2014-11-30,41415,6
36 months,E,2014-05-31,4948350,2015-01-31,39812,8
36 months,E,2014-05-31,4948350,2015-02-28,15453,9
36 months,E,2014-05-31,4948350,2015-03-31,78898,10
36 months,E,2014-05-31,4948350,2015-04-30,26895,11
36 months,E,2014-05-31,4948350,2015-05-31,35635,12
36 months,E,2014-05-31,4948350,2015-06-30,15000,13
36 months,E,2014-05-31,4948350,2015-07-31,5869,14
36 months,E,2014-05-31,4948350,2015-08-31,1172,15
36 months,E,2014-05-31,4948350,2015-11-30,1753,18
36 months,E,2014-06-30,5376275,,,
36 months,E,2014-06-30,5376275,2014-11-30,17700,5
36 months,E,2014-06-30,5376275,2014-12-31,4896,6
36 months,E,2014-06-30,5376275,2015-01-31,8981,7
36 months,E,2014-06-30,5376275,2015-02-28,35479,8
36 months,E,2014-06-30,5376275,2015-03-31,40515,9
36 months,E,2014-06-30,5376275,2015-04-30,15040,10
36 months,E,2014-06-30,5376275,2015-05-31,68647,11
36 months,E,2014-06-30,5376275,2015-06-30,56108,12
36 months,E,2014-06-30,5376275,2015-07-31,34884,13
36 months,E,2014-06-30,5376275,2015-08-31,8829,14
36 months,E,2014-06-30,5376275,2015-09-30,4075,15
36 months,E,2014-06-30,5376275,2015-10-31,11215,16
36 months,E,2014-07-31,10182675,,,
36 months,E,2014-07-31,10182675,2014-12-31,17025,5
36 months,E,2014-07-31,10182675,2015-01-31,50506,6
36 months,E,2014-07-31,10182675,2015-02-28,32310,7
36 months,E,2014-07-31,10182675,2015-03-31,53938,8
36 months,E,2014-07-31,10182675,2015-04-30,81749,9
36 months,E,2014-07-31,10182675,2015-05-31,44979,10
36 months,E,2014-07-31,10182675,2015-06-30,57254,11
36 months,E,2014-07-31,10182675,2015-07-31,68767,12
36 months,E,2014-07-31,10182675,2015-08-31,59990,13
36 months,E,2014-07-31,10182675,2015-09-30,14201,14
36 months,E,2014-08-31,8496975,,,
36 months,E,2014-08-31,8496975,2015-01-31,19750,5
36 months,E,2014-08-31,8496975,2015-02-28,15696,6
36 months,E,2014-08-31,8496975,2015-03-31,31615,7
36 months,E,2014-08-31,8496975,2015-04-30,20615,8
36 months,E,2014-08-31,8496975,2015-05-31,56042,9
36 months,E,2014-08-31,8496975,2015-06-30,62731,10
36 months,E,2014-08-31,8496975,2015-07-31,45787,11
36 months,E,2014-08-31,8496975,2015-08-31,6694,12
36 months,E,2014-08-31,8496975,2015-09-30,13038,13
36 months,E,2014-09-30,4393650,,,
36 months,E,2014-09-30,4393650,2015-02-28,1500,5
36 months,E,2014-09-30,4393650,2015-04-30,60365,7
36 months,E,2014-09-30,4393650,2015-05-31,63107,8
36 months,E,2014-09-30,4393650,2015-06-30,4593,9
36 months,E,2014-09-30,4393650,2015-07-31,60354,10
36 months,E,2014-09-30,4393650,2015-08-31,16461,11
36 months,E,2014-09-30,4393650,2015-09-30,27789,12
36 months,E,2014-10-31,12747650,,,
36 months,E,2014-10-31,12747650,2015-03-31,10200,5
36 months,E,2014-10-31,12747650,2015-04-30,50031,6
36 months,E,2014-10-31,12747650,2015-05-31,120890,7
36 months,E,2014-10-31,12747650,2015-06-30,137586,8
36 months,E,2014-10-31,12747650,2015-07-31,158019,9
36 months,E,2014-10-31,12747650,2015-08-31,47086,10
36 months,E,2014-11-30,7791650,,,
36 months,E,2014-11-30,7791650,2015-04-30,58500,5
36 months,E,2014-11-30,7791650,2015-05-31,47093,6
36 months,E,2014-11-30,7791650,2015-06-30,7664,7
36 months,E,2014-11-30,7791650,2015-07-31,81992,8
36 months,E,2014-11-30,7791650,2015-08-31,17734,9
36 months,E,2014-12-31,3208325,,,
36 months,E,2014-12-31,3208325,2015-06-30,21614,6
36 months,E,2014-12-31,3208325,2015-07-31,14612,7
36 months,E,2015-01-31,11931525,,,
36 months,E,2015-01-31,11931525,2015-06-30,39800,5
36 months,E,2015-01-31,11931525,2015-07-31,3916,6
36 months,E,2015-02-28,8162675,,,
36 months,E,2015-03-31,8056800,,,
36 months,E,2015-04-30,11983900,,,
36 months,E,2015-05-31,12287250,,,
36 months,E,2015-06-30,10055225,,,
36 months,F,2007-07-31,36700,,,
36 months,F,2007-07-31,36700,2008-11-30,14809,16
36 months,F,2007-08-31,118800,,,
36 months,F,2007-08-31,118800,2008-08-31,8816,12
36 months,F,2007-08-31,118800,2009-01-31,22288,17
36 months,F,2007-08-31,118800,2009-02-28,6894,18
36 months,F,2007-08-31,118800,2009-07-31,3614,23
36 months,F,2007-08-31,118800,2009-11-30,1668,27
36 months,F,2007-08-31,118800,2009-12-31,7945,28
36 months,F,2007-09-30,76450,,,
36 months,F,2007-09-30,76450,2008-06-30,3980,9
36 months,F,2007-09-30,76450,2008-08-31,2075,11
36 months,F,2007-09-30,76450,2008-10-31,9028,13
36 months,F,2007-09-30,76450,2009-08-31,1181,23
36 months,F,2007-10-31,117725,,,
36 months,F,2007-10-31,117725,2008-07-31,1564,9
36 months,F,2007-10-31,117725,2009-01-31,18457,15
36 months,F,2007-10-31,117725,2009-08-31,22907,22
36 months,F,2007-11-30,120625,,,
36 months,F,2007-11-30,120625,2009-06-30,5593,19
36 months,F,2007-11-30,120625,2009-07-31,34783,20
36 months,F,2007-12-31,145950,,,
36 months,F,2007-12-31,145950,2008-07-31,14338,7
36 months,F,2007-12-31,145950,2009-02-28,7921,14
36 months,F,2007-12-31,145950,2009-03-31,19139,15
36 months,F,2007-12-31,145950,2009-04-30,13443,16
36 months,F,2007-12-31,145950,2010-03-31,4888,27
36 months,F,2007-12-31,145950,2010-06-30,3824,30
36 months,F,2008-01-31,314300,,,
36 months,F,2008-01-31,314300,2008-08-31,4891,7
36 months,F,2008-01-31,314300,2008-09-30,14340,8
36 months,F,2008-01-31,314300,2008-11-30,8501,10
36 months,F,2008-01-31,314300,2008-12-31,10841,11
36 months,F,2008-01-31,314300,2009-02-28,21335,13
36 months,F,2008-01-31,314300,2009-03-31,16348,14
36 months,F,2008-01-31,314300,2009-07-31,9949,18
36 months,F,2008-01-31,314300,2009-09-30,6437,20
36 months,F,2008-01-31,314300,2010-12-31,9652,35
36 months,F,2008-01-31,314300,2011-03-31,2054,38
36 months,F,2008-02-29,184425,,,
36 months,F,2008-02-29,184425,2009-03-31,10058,13
36 months,F,2008-02-29,184425,2009-05-31,18006,15
36 months,F,2008-02-29,184425,2009-11-30,9659,21
36 months,F,2008-02-29,184425,2010-01-31,11542,23
36 months,F,2008-02-29,184425,2010-09-30,7458,31
36 months,F,2008-03-31,251250,,,
36 months,F,2008-03-31,251250,2008-08-31,3200,5
36 months,F,2008-03-31,251250,2008-11-30,7648,8
36 months,F,2008-03-31,251250,2009-03-31,9075,12
36 months,F,2008-03-31,251250,2009-05-31,15641,14
36 months,F,2008-03-31,251250,2009-09-30,17990,18
36 months,F,2008-03-31,251250,2009-10-31,12026,19
36 months,F,2008-03-31,251250,2010-01-31,14686,22
36 months,F,2008-03-31,251250,2010-02-28,11694,23
36 months,F,2008-03-31,251250,2011-03-31,2924,36
36 months,F,2008-04-30,192550,,,
36 months,F,2008-04-30,192550,2009-01-31,7948,9
36 months,F,2008-04-30,192550,2009-03-31,6217,11
36 months,F,2008-04-30,192550,2009-11-30,16345,19
36 months,F,2008-04-30,192550,2010-07-31,16687,27
36 months,F,2008-05-31,10500,,,
36 months,F,2008-06-30,18225,,,
36 months,F,2008-06-30,18225,2009-09-30,3237,15
36 months,F,2008-07-31,43850,,,
36 months,F,2008-07-31,43850,2010-06-30,9363,23
36 months,F,2008-08-31,51125,,,
36 months,F,2008-08-31,51125,2009-10-31,6307,14
36 months,F,2008-08-31,51125,2009-11-30,5771,15
36 months,F,2008-09-30,38100,,,
36 months,F,2008-09-30,38100,2010-07-31,2069,22
36 months,F,2008-10-31,13450,,,
36 months,F,2008-11-30,57500,,,
36 months,F,2008-12-31,61000,,,
36 months,F,2008-12-31,61000,2009-05-31,5000,5
36 months,F,2008-12-31,61000,2010-01-31,20510,13
36 months,F,2008-12-31,61000,2010-02-28,13689,14
36 months,F,2009-01-31,54400,,,
36 months,F,2009-01-31,54400,2009-10-31,6389,9
36 months,F,2009-01-31,54400,2009-12-31,12480,11
36 months,F,2009-02-28,77600,,,
36 months,F,2009-03-31,100450,,,
36 months,F,2009-03-31,100450,2009-12-31,14033,9
36 months,F,2009-03-31,100450,2012-05-31,6215,38
36 months,F,2009-04-30,122550,,,
36 months,F,2009-04-30,122550,2009-11-30,23928,7
36 months,F,2009-04-30,122550,2010-01-31,1941,9
36 months,F,2009-04-30,122550,2011-05-31,16340,25
36 months,F,2009-04-30,122550,2011-07-31,9581,27
36 months,F,2009-05-31,97000,,,
36 months,F,2009-05-31,97000,2010-12-31,14806,19
36 months,F,2009-06-30,31250,,,
36 months,F,2009-06-30,31250,2010-06-30,13012,12
36 months,F,2009-06-30,31250,2011-11-30,2102,29
36 months,F,2009-07-31,144000,,,
36 months,F,2009-07-31,144000,2010-08-31,8212,13
36 months,F,2009-07-31,144000,2011-02-28,3239,19
36 months,F,2009-07-31,144000,2011-08-31,12770,25
36 months,F,2009-08-31,83800,,,
36 months,F,2009-08-31,83800,2010-06-30,17260,10
36 months,F,2009-08-31,83800,2010-11-30,11472,15
36 months,F,2009-09-30,137000,,,
36 months,F,2009-09-30,137000,2012-07-31,10275,34
36 months,F,2009-09-30,137000,2013-03-31,941,42
